x,meanNoByzantine,upNoByzantine,lowNoByzantine
511,11175782.59,15700691.215233417,6650873.9647665825
521,12139351.78,17229851.788697302,7048851.771302694
531,11613996.71,16319878.092399277,6908115.327600725
541,11282624.8,16474914.959714375,6090334.640285626
551,11980718.82,17082967.425462343,6878470.21453766
561,10931353.13,15640305.424136348,6222400.8358636545
571,12116194.06,17616806.842658572,6615581.277341429
581,12069912.15,16935998.307441827,7203825.992558173
591,12783376.96,17972964.36377208,7593789.556227923
601,11835813.38,16031303.369352132,7640323.3906478705
611,12827214.44,17700257.98351297,7954170.896487028
621,13027504.33,17356069.230205636,8698939.429794364
631,13030063.33,17294764.791411486,8765361.868588515
641,12878626.73,16930711.349016275,8826542.110983726
651,12015228.36,15752785.507098086,8277671.212901912
661,12472343.18,16501865.445825743,8442820.914174257
671,12550800.05,16566365.636209225,8535234.463790776
681,11495920.96,15230464.1880645,7761377.7319355
691,11805496.88,15507070.288954902,8103923.471045099
701,11309366.13,14680852.663427217,7937879.596572785
711,11555249.76,14916816.05414179,8193683.46585821
721,12397901.44,16146903.222134652,8648899.657865347
731,11954512.3,15596534.850647919,8312489.749352084
741,11250214.89,14801826.78554162,7698602.994458382
751,10668936.1,13908289.185203755,7429583.014796244
761,10226122.18,13440003.921250619,7012240.4387493795
771,10973153.97,14208428.08987514,7737879.850124862
781,10393701.23,13350186.452085374,7437216.007914627
791,10655045.12,13950722.153935911,7359368.086064087
801,10888369.65,14455680.657322403,7321058.642677598
811,10303610.62,13844560.591321906,6762660.648678092
821,10383893.8,13647098.992653638,7120688.607346364
831,10222561.61,13479955.315329421,6965167.904670578
841,10999119.28,14533491.64099092,7464746.919009078
851,11800111.61,15649243.13356917,7950980.086430828
861,11181111.43,14913150.126176057,7449072.733823942
871,9822282.82,13108829.007054588,6535736.632945413
881,10117651.74,14153532.991063321,6081770.488936679
891,10177496.81,14108032.749126187,6246960.870873814
901,10980437.04,15137636.404402222,6823237.675597775
911,10938377.51,14926079.053091303,6950675.966908698
921,11061224.54,15408139.090986384,6714309.989013614
931,11511498.15,15730961.086757556,7292035.213242445
941,11126661.82,15463427.422644407,6789896.217355594
951,11181720.0,15622221.95421053,6741218.045789471
961,11349886.95,15666887.39325137,7032886.506748627
971,10328484.71,14081529.16765472,6575440.2523452835
981,10753334.29,14920909.248014992,6585759.331985006
991,11568623.63,16185293.972461874,6951953.287538128
1001,11145739.44,15608576.15793553,6682902.722064469
1011,11158215.2,15520578.05693083,6795852.343069168
1021,10672454.63,14987184.573088044,6357724.686911957
1031,10250520.12,14552974.383400977,5948065.856599023
1041,10913209.61,15639403.100009704,6187016.119990295
1051,10930792.63,15675351.848055154,6186233.411944848
1061,11228544.48,15265114.854362668,7191974.105637332
1071,10893676.05,14759290.70487601,7028061.395123993
1081,9712548.61,13178497.05781178,6246600.162188219
1091,9680657.93,13212266.123877766,6149049.736122234
1101,10110742.59,13862198.969049402,6359286.210950599
1111,9932700.1,13739930.361584656,6125469.838415344
1121,7961643.82,10733714.26126958,5189573.37873042
1131,9663037.3,13252425.912458884,6073648.687541118
1141,10012025.03,13622859.503489956,6401190.556510043
1151,8787247.55,11834578.708364855,5739916.391635145
1161,8719089.93,11823715.839417327,5614464.020582673
1171,8538979.86,11725865.848231107,5352093.871768892
1181,8634010.19,11775667.299627028,5492353.080372971
1191,10586736.52,14087192.358378181,7086280.681621818
1201,11039790.9,14702196.345735356,7377385.4542646445
1211,11006039.71,14782376.887649909,7229702.532350093
1221,10416239.44,14142373.854440605,6690105.025559394
1231,10087961.43,13930306.593508087,6245616.266491911
1241,10352098.88,14302826.019252896,6401371.740747106
1251,10031913.92,13777264.421953458,6286563.4180465415
1261,11112733.1,15164783.595034547,7060682.604965452
1271,11460995.84,15556253.693142988,7365737.986857011
1281,10605100.06,14446083.576876858,6764116.543123143
1291,10388916.03,14193664.668126747,6584167.391873252
1301,11503472.77,15552421.645950068,7454523.894049932
1311,10638248.48,14415605.293215541,6860891.66678446
1321,11435463.87,15562504.649711415,7308423.090288583
1331,10656113.07,14500599.360129263,6811626.779870736
1341,10448612.11,14416521.230219038,6480702.989780961
1351,10067269.2,13685969.354473291,6448569.045526708
1361,9468975.5,13229906.975542843,5708044.024457157
1371,9149373.07,12653340.313137429,5645405.826862572
1381,9727087.24,13731539.886231162,5722634.593768839
1391,9340143.34,12797502.468591131,5882784.211408869
1401,9379318.76,12693425.907194922,6065211.612805078
1411,9544059.04,12857374.543946562,6230743.536053436
1421,10544930.41,14322005.510346958,6767855.309653042
1431,10336255.57,14025360.60231085,6647150.537689151
1441,10573218.21,14141962.462818146,7004473.957181855
1451,9568457.48,12972056.089044023,6164858.870955978
1461,9370020.38,12729730.578929594,6010310.181070408
1471,9520550.49,12954974.368805066,6086126.611194935
1481,8891910.02,12190199.964092452,5593620.075907547
1491,9029804.52,12100119.217780773,5959489.8222192265
