x,meanNoByzantine,upNoByzantine,lowNoByzantine
531,3034423.76,4685834.405201388,1383013.114798612
541,2493939.1,3860737.768522121,1127140.431477879
551,2423428.05,3681762.9559964007,1165093.144003599
561,3009503.64,4307472.204135913,1711535.0758640869
571,3627953.28,5302287.679151413,1953618.8808485863
581,3269677.47,4826124.36266173,1713230.5773382708
591,3324331.77,5106458.54801832,1542204.9919816793
601,2726606.23,4027031.9682962326,1426180.4917037673
611,3338316.39,5051712.845658778,1624919.9343412223
621,3180202.96,4843741.8480584975,1516664.0719415026
631,3276972.38,4702513.858974164,1851430.901025836
641,3118729.14,4757943.661251222,1479514.6187487785
651,3078192.07,4779584.333588181,1376799.8064118184
661,3346099.9,4888549.6776103815,1803650.1223896183
671,3044709.9,4582536.627839338,1506883.1721606613
681,2999922.56,4622010.342302984,1377834.777697017
691,2725344.61,4066175.107373126,1384514.112626874
701,2662679.94,3970010.269744425,1355349.610255575
711,2661461.6,3757401.4957649456,1565521.7042350546
721,2813499.74,3964661.6007566224,1662337.879243378
731,3261364.86,4869940.02034911,1652789.69965089
741,3400757.81,5075598.679691526,1725916.940308474
751,3739410.72,5563760.480876761,1915060.9591232403
761,2904505.96,4439534.853579778,1369477.0664202212
771,2808785.51,4149962.4576651487,1467608.562334851
781,2816520.81,4147110.2623005486,1485931.3576994515
791,2577970.82,3746741.7595876902,1409199.8804123092
801,3117571.29,4735609.246084465,1499533.3339155354
811,3145242.42,4532558.901170192,1757925.938829807
821,3221117.9,4834996.685912517,1607239.1140874831
831,3143044.43,4858292.06095974,1427796.7990402607
841,3365486.36,5114004.8940778505,1616967.8259221492
851,3447437.66,5345592.528447064,1549282.7915529367
861,3407029.59,4954565.042384969,1859494.1376150302
871,3368590.76,5173790.842916259,1563390.6770837407
881,3653059.75,6261329.3806317635,1044790.119368236
891,4236484.51,7358463.81275098,1114505.2072490193
901,4109206.26,7162070.672422266,1056341.8475777335
911,3974652.99,7008178.96265937,941127.0173406298
921,3550714.15,6192838.246885121,908590.053114879
931,3273522.25,5535773.461370458,1011271.0386295421
941,3700372.48,6400940.498218628,999804.4617813723
951,3530057.76,5656423.908457831,1403691.6115421695
961,3353490.6,5394979.77336105,1312001.4266389501
971,3409341.64,5589130.299184803,1229552.9808151973
981,3366779.42,5745693.9384176675,987864.9015823319
991,3577094.91,6578411.569055896,575778.2509441036
1001,3766809.16,6538995.766215444,994622.5537845562
1011,3689075.7,5936450.13114417,1441701.2688558307
1021,4172243.36,7554465.279504458,790021.4404955413
1031,4253614.18,7334906.861171256,1172321.4988287436
1041,4060048.64,7413872.237834084,706225.0421659164
1051,4063405.27,7378868.907115966,747941.6328840344
1061,3330652.92,5976335.106364279,684970.7336357208
1071,3234209.84,5516009.996204973,952409.6837950265
1081,2628049.82,4363720.0761192255,892379.5638807742
1091,2460762.77,3832659.5358022517,1088866.0041977486
1101,2737457.18,4432832.441954082,1042081.9180459187
1111,3347353.46,5625612.959906112,1069093.960093888
1121,2597697.57,4254303.176428093,941091.9635719075
1131,2925500.42,5259830.230369614,591170.6096303854
1141,2628845.43,4436254.341500339,821436.518499661
1151,2445609.52,3918736.1876501003,972482.8523498995
1161,2279644.59,3618394.6424857355,940894.5375142642
1171,2247635.07,3671047.993337068,824222.1466629319
1181,2129501.89,3253341.9761197446,1005661.8038802554
1191,2294528.13,3517750.5006179377,1071305.7593820621
1201,2143343.53,3338862.5563827897,947824.5036172098
1211,1760147.1,2706010.2148374794,814283.985162521
1221,2017189.12,3042762.5424791076,991615.6975208927
1231,1932418.25,3049008.8709010347,815827.6290989653
1241,2405081.17,3999576.78568221,810585.5543177901
1251,2589763.89,4267274.769529765,912253.0104702357
1261,2703476.43,4358174.411007737,1048778.4489922633
1271,2801488.6,4364088.1618863605,1238889.0381136395
1281,3002791.06,4969574.584419195,1036007.5355808055
1291,3331421.84,5471878.609524783,1190965.0704752174
1301,3010377.62,5097106.510839574,923648.7291604264
1311,2484028.97,3982640.6752073728,985417.2647926277
1321,2530522.52,4476361.3022439135,584683.7377560863
1331,2534980.32,4375398.625961233,694562.0140387667
1341,2728561.36,4934326.615435561,522796.1045644386
1351,2286010.03,4405520.848375468,166499.21162453247
1361,2091419.44,3891595.4895688687,291243.39043113124
1371,1826604.2,2967273.4207476303,685934.9792523694
1381,1809311.36,3035278.6000921284,583344.1199078718
1391,1618727.65,2736337.5842251615,501117.71577483835
1401,1771312.52,3069727.2841089396,472897.75589106046
1411,1811670.74,3402750.8193772715,220590.66062272876
1421,1969849.86,3501520.6239117086,438179.0960882916
1431,2347944.65,3953850.5955906017,742038.7044093979
1441,2205451.54,3827678.187676026,583224.892323974
1451,2091100.91,3612190.022263427,570011.797736573
1461,1916708.84,3368764.676459429,464653.00354057155
1471,2055735.98,3538495.0292626084,572976.9307373916
1481,1746711.36,2959713.2487540524,533709.4712459475
1491,2003552.62,3339812.116726782,667293.1232732183
1501,1373556.81,2357401.027443922,389712.59255607787
1511,1694947.52,2999788.122073354,390106.91792664607
1521,2235912.93,3826696.97480567,645128.8851943305
1531,2560907.13,4477258.609440019,644555.65055998
1541,2484420.61,4489193.372440379,479647.84755962016
1551,2051742.66,3560652.583521381,542832.7364786188
1561,2272423.34,4319237.015355687,225609.66464431328
