x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
50,5488843.666666667,11885566.40796781,-907879.0746344756,5049429.216666667,11400508.140347837,-1301649.707014503,5315020.4,11705446.230641816,-1075405.4306418141,4263543.833333333,10612065.803698502,-2084978.1370318374,5488843.666666667,11885566.40796781,-907879.0746344756,4263543.8,10612065.769659486,-2084978.169659487
51,6255368.766666667,13751442.29113537,-1240704.7578020366,5790606.55,13254230.081045065,-1673016.9810450664,6047421.3,13551424.567412611,-1456581.9674126124,5032527.633333334,12504932.073720299,-2439876.807053631,6255368.766666667,13751442.29113537,-1240704.7578020366,5032527.5,12504931.93110551,-2439876.9311055103
52,6358575.0,14450902.917278795,-1733752.9172787946,5859873.85,13913750.043671094,-2194002.3436710956,6176385.266666667,14282905.56001168,-1930135.026678346,5039526.2,13086844.242875852,-3007791.8428758522,6358575.0,14450902.917278795,-1733752.9172787946,5039524.833333333,13086842.794804666,-3007793.128138
53,5413221.066666666,12318057.176624766,-1491615.0432914328,4920802.8,11772131.248836258,-1930525.6488362588,5240778.8,12140494.922436286,-1658937.3224362852,4107969.0,10968294.325876188,-2752356.3258761885,5413221.066666666,12318057.176624766,-1491615.0432914328,4105361.1666666665,10965304.840689974,-2754582.5073566413
54,5159137.533333333,11944588.716851875,-1626313.6501852097,4722124.516666667,11462986.76839183,-2018737.7350584976,5070067.133333334,11858386.131287467,-1718251.8646208001,3922948.1333333333,10669359.500474786,-2823463.2338081193,5159137.533333333,11944588.716851875,-1626313.6501852097,3921152.1333333333,10667393.692402212,-2825089.425735546
55,6460200.0,14544833.926432725,-1624433.926432724,6009849.816666666,14064555.31093907,-2044855.677605738,6407170.133333334,14498923.992561776,-1684583.7258951096,5218357.866666666,13294345.445092406,-2857629.7117590727,6460200.0,14544833.926432725,-1624433.926432724,5216585.0,13292458.06120915,-2859288.0612091506
56,5330401.566666666,12098127.916018605,-1437324.7826852724,4811271.5,11507628.312662043,-1885085.3126620427,5189725.683333334,11957333.267379742,-1577881.900713076,3919306.2333333334,10604599.110136557,-2765986.6434698906,5330401.566666666,12098127.916018605,-1437324.7826852724,3918102.433333333,10603325.66107618,-2767120.794409514
57,6429474.133333334,13294216.128216699,-435267.8615500303,5943256.066666666,12752323.028981172,-865810.8956478378,6286012.016666667,13153790.353695035,-581766.3203617027,5165043.966666667,11984436.533655789,-1654348.6003224542,6429474.133333334,13294216.128216699,-435267.8615500303,5165676.1,11985129.073239956,-1653776.8732399577
58,5670079.266666667,12450440.485219631,-1110281.9518862972,5189793.133333334,11897814.356007002,-1518228.0893403338,5536140.15,12311488.09084966,-1239207.7908496587,4389767.3,11093395.921849046,-2313861.3218490453,5670079.266666667,12450440.485219631,-1110281.9518862972,4387953.366666666,11091359.01751714,-2315452.2841838077
59,5660050.133333334,12382477.48564367,-1062377.2189770024,5221782.283333333,11878712.733224168,-1435148.166557503,5564460.1,12268024.800567854,-1139104.6005678559,4481819.9,11147171.529665833,-2183531.7296658326,5660050.133333334,12382477.48564367,-1062377.2189770024,4482576.933333334,11148060.507058855,-2182906.640392187
60,6316388.233333333,13121639.0354532,-488862.5687865345,5884685.733333333,12617113.750064462,-847742.2833977966,6278352.383333334,13051798.164478794,-495093.39781212714,5063129.033333333,11795510.421632668,-1669252.3549660016,6316388.233333333,13121639.0354532,-488862.5687865345,5063911.2,11796407.06984508,-1668584.66984508
61,5811050.2,12617613.42416063,-995513.0241606291,5263537.45,11945008.232244223,-1417933.332244224,5824190.283333333,12604156.740506776,-955776.1738401093,4385065.933333334,11034899.16415646,-2264767.297489793,5811050.2,12617613.42416063,-995513.0241606291,4385679.7,11035590.169499345,-2264230.7694993457
62,5699127.0,12505143.423582327,-1106889.4235823257,5146014.316666666,11818268.286020383,-1526239.6526870504,5649712.416666667,12403163.46556396,-1103738.6322306274,4387245.466666667,11029928.591056019,-2255437.6577226864,5699127.0,12505143.423582327,-1106889.4235823257,4385889.933333334,11028423.092750257,-2256643.2260835897
63,5651541.0,12390335.39447644,-1087253.3944764389,5316308.433333334,12030128.13906806,-1397511.2724013925,5883265.266666667,12633148.92649249,-866618.3931591557,4935527.633333334,11660427.692798018,-1789372.4261313519,5651541.0,12390335.39447644,-1087253.3944764389,4934692.033333333,11659557.344827931,-1790173.278161264
64,6180356.9,13027310.045347575,-666596.2453475734,5666140.333333333,12402595.254646942,-1070314.587980277,6098272.7,12894829.669994213,-698284.2699942114,4915414.033333333,11630934.26332032,-1800106.196653652,6180356.9,13027310.045347575,-666596.2453475734,4914643.033333333,11630137.797670506,-1800851.7310038405
65,5472066.4,12231489.15334512,-1287356.3533451175,4980286.983333333,11632801.061774984,-1672227.0951083163,5417034.716666667,12135925.771781418,-1301856.338448085,4246382.5,10873658.712980574,-2380893.712980574,5472066.4,12231489.15334512,-1287356.3533451175,4245662.066666666,10872903.770562716,-2381579.637229384
66,4536433.9,11168250.09257276,-2095382.29257276,4295627.166666667,10919549.361396752,-2328295.0280634174,4695372.3,11333175.980173819,-1942431.3801738191,4064137.7666666666,10701561.070163537,-2573285.5368302045,4536433.9,11168250.09257276,-2095382.29257276,4063715.033333333,10701136.137184257,-2573706.0705175903
67,5113207.266666667,11853535.893629614,-1627121.3602962801,4703546.433333334,11359339.978701562,-1952247.1120348955,5065781.416666667,11769548.67699384,-1637985.8436605055,4130772.466666667,10767300.723967932,-2505755.7906345977,5113207.266666667,11853535.893629614,-1627121.3602962801,4130333.3666666667,10766854.702372724,-2506187.9690393913
68,4818487.666666667,11466055.636547618,-1829080.3032142837,4599133.8,11221804.741903853,-2023537.141903854,4685149.483333333,11302097.25562407,-1931798.288957405,4243249.133333334,10871168.73677146,-2384670.470104794,4818487.666666667,11466055.636547618,-1829080.3032142837,4242915.7,10870834.064795304,-2385002.6647953046
69,5454458.733333333,12204129.101100722,-1295211.6344340555,5237203.25,11966279.305365514,-1491872.805365514,5322356.516666667,12044550.1181945,-1399837.0848611668,4917594.633333334,11656880.839429062,-1821691.5727623943,5454458.733333333,12204129.101100722,-1295211.6344340555,4917150.966666667,11656432.13896852,-1822130.2056351854
70,5938295.066666666,12776858.252262646,-900268.1189293135,5538006.266666667,12306557.759149535,-1230545.2258162014,5895452.9,12696681.038679011,-905775.2386790095,5021355.1,11786906.980896257,-1744196.7808962585,5938295.066666666,12776858.252262646,-900268.1189293135,5020947.35,11786493.378707392,-1744598.678707393
71,5552761.866666666,12129751.007024545,-1024227.2736912128,5281982.966666667,11832405.787316494,-1268439.853983161,5459113.233333333,12007522.15791491,-1089295.6912482437,4921294.333333333,11488561.306423241,-1645972.6397565752,5552761.866666666,12129751.007024545,-1024227.2736912128,4920748.933333334,11487987.591403475,-1646489.7247368079
72,6050779.2,12867863.400639229,-766305.0006392272,5753377.016666667,12543377.720885884,-1036623.6875525499,5889245.7,12676998.98498756,-898507.5849875594,5271679.166666667,12082321.63189651,-1538963.2985631768,6050779.2,12867863.400639229,-766305.0006392272,5271053.633333334,12081658.73284724,-1539551.4661805714
73,4875534.166666667,11450808.461397128,-1699740.1280637942,4764730.75,11334974.539615428,-1805513.039615428,4699577.583333333,11279664.470589317,-1880509.3039226513,4419103.666666667,11012336.767712716,-2174129.434379382,4875534.166666667,11450808.461397128,-1699740.1280637942,4418618.483333333,11011824.28637721,-2174587.3197105443
74,5259823.566666666,11760306.289554123,-1240659.156220791,5206662.866666666,11709064.89448808,-1295739.161154747,5095441.933333334,11602574.927193144,-1411691.0605264772,4957629.333333333,11486272.178641748,-1571013.5119750826,5259823.566666666,11760306.289554123,-1240659.156220791,4957044.85,11485659.99652363,-1571570.2965236316
