x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanobsall,upobsall,lowobsall,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
590,12384616.12,17533846.58555156,7235385.6544484375,6573537.64,8755995.267349098,4391080.012650901,11213047.07,14884043.353859004,7542050.786140998,12303860.01,17444538.261874024,7163181.758125977,11488374.81,16775955.866921075,6200793.753078927,10148132.48,13194113.111945087,7102151.848054914,5604863.28,7570877.065933162,3638849.4940668386
600,12450623.93,17091038.70394084,7810209.15605916,6593167.58,8680255.281453876,4506079.878546125,11871712.7,15543994.127369458,8199431.272630541,12726872.6,17424731.46632286,8029013.7336771395,11608094.04,16240114.96087554,6976073.119124459,10459228.0,13732397.55709776,7186058.442902242,6179101.87,8312108.177836543,4046095.5621634573
610,12611000.6,17334237.694653913,7887763.505346086,7773497.26,10588988.875840858,4958005.644159143,12084320.23,15883783.803850818,8284856.656149183,12880016.78,17634246.134749547,8125787.425250452,11823951.33,16499926.175374482,7147976.484625518,10882962.79,14164676.125433251,7601249.454566747,6668029.3,9116987.142353429,4219071.457646571
620,12568329.13,16721915.575907882,8414742.68409212,7449891.2,10083403.482452333,4816378.917547667,12685020.24,16715804.590214517,8654235.889785483,13049621.39,17627438.53452795,8471804.245472051,12491843.6,17098316.113369383,7885371.086630618,10749266.06,13871151.872980727,7627380.247019274,6443525.2,8901152.834632322,3985897.5653676772
630,12635216.58,16786577.94066911,8483855.219330892,8359175.03,11522780.064219493,5195569.995780507,12796051.37,17133730.92655944,8458371.813440558,13614112.5,18546989.731736816,8681235.268263185,13106191.8,18059270.63670575,8153112.963294255,12172925.62,15921968.343105353,8423882.896894645,6708246.94,9188151.75475579,4228342.125244211
640,12950914.66,16901065.337944724,9000763.982055277,8565921.14,12090224.12736642,5041618.152633581,13413154.14,18141645.740369167,8684662.539630834,14006802.62,18917179.55772185,9096425.682278149,13427490.97,18272593.91136589,8582388.028634114,11868912.83,15278318.818534762,8459506.841465238,6867706.44,9616805.51762421,4118607.3623757893
650,12553608.19,16489515.528210446,8617700.851789553,7806312.21,11031757.848989706,4580866.5710102925,12089773.61,16139837.034254953,8039710.1857450465,13576419.27,18556410.977175914,8596427.562824085,13321120.62,18327257.406162817,8314983.833837181,11145074.72,14561885.310274765,7728264.129725236,6163677.26,8841308.989166183,3486045.530833816
660,12748377.0,16794659.87552803,8702094.12447197,7943250.7,11390902.416053442,4495598.983946558,12594243.9,16717738.09871706,8470749.70128294,13503526.9,18163814.47516855,8843239.324831454,13113871.63,17719304.305367053,8508438.95463295,10613039.19,13837841.72701369,7388236.652986309,6301765.29,8962257.813493429,3641272.766506571
670,12242546.91,16125810.043337524,8359283.776662477,6566790.17,9259348.00656764,3874232.33343236,12147153.61,15969629.647506688,8324677.57249331,12641445.89,16711536.111988466,8571355.668011535,12548601.95,16701570.427931776,8395633.472068222,10471508.15,13593575.00625031,7349441.293749691,5987048.35,8430123.847111687,3543972.8528883113
680,11609607.99,15418025.314532537,7801190.665467463,6311436.85,9160440.013506476,3462433.686493524,10639056.93,14157636.35159684,7120477.508403159,12123113.41,16264663.706497405,7981563.1135025965,11682374.69,15794022.624922555,7570726.755077445,9802546.42,12945936.339757707,6659156.500242293,5781207.37,8314198.598701399,3248216.1412986014
690,11714741.64,15413557.260421112,8015926.019578888,6141190.2,8809657.021330122,3472723.378669879,10663639.05,14017739.27044303,7309538.829556972,11727575.15,15373910.153724585,8081240.146275416,11413703.18,15034132.362472123,7793273.997527877,9319369.19,12124248.510123156,6514489.869876842,5401913.7,7621260.632917834,3182566.767082166
700,11056284.99,14371275.103637617,7741294.876362382,4920454.83,6939292.674003399,2901616.985996601,9980401.87,13034114.712140653,6926689.027859344,10692061.45,13848235.101217326,7535887.798782674,10613581.52,13866997.587686941,7360165.452313059,9055868.32,11574866.535778457,6536870.104221543,4679147.8,6445779.892785473,2912515.707214527
710,11489807.72,14914635.292165045,8064980.147834957,4741755.14,6746775.350961739,2736734.92903826,9758509.61,12591177.305846518,6925841.914153481,11453555.01,14922497.409861125,7984612.6101388745,11366949.93,14815182.92549463,7918716.93450537,8958664.05,11654687.509034295,6262640.590965707,4988352.84,6932139.652203702,3044566.0277962973
720,12531598.82,16317874.342505112,8745323.297494888,5827887.72,8214896.183782926,3440879.256217073,11011555.75,14364612.853127824,7658498.646872176,11995599.97,15612964.442174565,8378235.497825435,11720550.13,15340436.041447027,8100664.218552975,10126866.2,13162264.703495562,7091467.696504436,5544770.08,7890509.724295555,3199030.435704446
730,11942308.45,15616059.049579984,8268557.850420015,5456695.14,7643776.293351313,3269613.9866486858,11136334.49,14455360.226823717,7817308.753176283,11906882.34,15563673.124818886,8250091.555181114,11770939.31,15422200.831200432,8119677.788799569,9269974.94,11946393.122979611,6593556.757020388,5600901.75,8003132.977048389,3198670.5229516113
740,11410463.59,15051460.049899654,7769467.130100345,5792665.17,8105953.510610716,3479376.8293892834,10935378.87,14405641.719144985,7465116.020855012,11406104.4,15133526.66619667,7678682.133803329,11468571.08,15282046.827725776,7655095.332274225,8218635.3,10613836.443124302,5823434.156875698,5329932.1,7624638.259678808,3035225.940321191
750,10615531.5,13833363.625815604,7397699.374184397,6226053.17,8619883.22559223,3832223.1144077694,10974098.57,14421825.104819436,7526372.035180564,10668207.49,13947500.88294719,7388914.097052811,10862468.4,14751122.397020988,6973814.402979012,8480334.74,10952692.092783725,6007977.387216276,5407063.91,7704909.4747757185,3109218.3452242822
760,10314381.8,13603571.988919377,7025191.611080625,5683094.09,7928773.182377618,3437414.9976223814,10727086.79,14279986.715290947,7174186.864709051,10776218.63,14265717.848469406,7286719.411530595,10216744.23,13876352.28477329,6557136.175226712,9487168.79,12480346.021011334,6493991.558988664,4989906.12,7216004.462144914,2763807.777855086
770,10262134.68,13300937.649860747,7223331.710139251,6368652.05,8740235.97140164,3997068.1285983603,10890269.27,14738450.285021484,7042088.254978516,10648376.55,13900514.341592925,7396238.758407077,10599920.92,14263540.725208852,6936301.114791147,9738724.45,12731992.121788826,6745456.778211172,5126004.48,7473457.445201709,2778551.514798292
780,10530209.22,13577674.840003274,7482743.599996727,6229960.76,8362923.021468245,4096998.498531754,10681323.9,14179630.472954292,7183017.327045709,10921352.5,14111674.666253377,7731030.333746623,10436932.25,13739412.057608787,7134452.442391212,9813728.96,12495886.089288188,7131571.830711814,5116387.25,7122985.794329329,3109788.7056706706
790,10581981.68,13791602.367636237,7372360.992363762,5546175.06,7763145.020462215,3329205.0995377847,11226201.8,15069334.50719899,7383069.092801012,10904445.44,14172180.31207572,7636710.567924279,10001873.32,13031255.222660847,6972491.417339154,8499853.6,10970436.06746702,6029271.132532978,4869561.54,6754013.365940217,2985109.7140597836
800,10900316.95,14429568.762111846,7371065.137888153,6301070.13,8701130.997167693,3901009.262832306,10951261.36,15094194.631613256,6808328.088386742,10923112.51,14367610.687299538,7478614.33270046,10548160.63,14092472.652603788,7003848.607396213,8583467.08,11188948.210467,5977985.949533,4291740.16,5985887.044239689,2597593.275760311
