x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
29,528440.1666666666,1231618.599021066,-174738.26568773272,528440.1666666666,1231618.599021066,-174738.26568773272,528440.1666666666,1231618.599021066,-174738.26568773272,528440.1666666666,1231618.599021066,-174738.26568773272,528440.1666666666,1231618.599021066,-174738.26568773272,528440.1666666666,1231618.599021066,-174738.26568773272
30,699998.0666666667,1628256.3668767891,-228260.23354345583,699998.0666666667,1628256.3668767891,-228260.23354345583,699998.0666666667,1628256.3668767891,-228260.23354345583,699998.0666666667,1628256.3668767891,-228260.23354345583,699998.0666666667,1628256.3668767891,-228260.23354345583,699998.0666666667,1628256.3668767891,-228260.23354345583
31,635626.6,1483982.5336176825,-212729.33361768257,635626.6,1483982.5336176825,-212729.33361768257,635626.6,1483982.5336176825,-212729.33361768257,635626.6,1483982.5336176825,-212729.33361768257,635626.6,1483982.5336176825,-212729.33361768257,635626.6,1483982.5336176825,-212729.33361768257
32,627746.8666666667,1458335.3301756075,-202841.5968422742,627746.8666666667,1458335.3301756075,-202841.5968422742,627746.8666666667,1458335.3301756075,-202841.5968422742,627746.8666666667,1458335.3301756075,-202841.5968422742,627746.8666666667,1458335.3301756075,-202841.5968422742,627746.8666666667,1458335.3301756075,-202841.5968422742
33,741030.2,1570876.9841964561,-88816.58419645613,741030.2,1570876.9841964561,-88816.58419645613,741030.2,1570876.9841964561,-88816.58419645613,741030.2,1570876.9841964561,-88816.58419645613,741030.2,1570876.9841964561,-88816.58419645613,741030.2,1570876.9841964561,-88816.58419645613
34,689334.8666666667,1445177.6050658543,-66507.87173252087,689334.8666666667,1445177.6050658543,-66507.87173252087,689334.8666666667,1445177.6050658543,-66507.87173252087,689334.8666666667,1445177.6050658543,-66507.87173252087,689334.8666666667,1445177.6050658543,-66507.87173252087,689334.8666666667,1445177.6050658543,-66507.87173252087
35,706059.1666666666,1423622.3797895312,-11504.046456197859,706059.1666666666,1423622.3797895312,-11504.046456197859,706059.1666666666,1423622.3797895312,-11504.046456197859,706059.1666666666,1423622.3797895312,-11504.046456197859,706059.1666666666,1423622.3797895312,-11504.046456197859,706059.1666666666,1423622.3797895312,-11504.046456197859
36,692618.0333333333,1337290.0264299705,47946.040236696135,692618.0333333333,1337290.0264299705,47946.040236696135,692618.0333333333,1337290.0264299705,47946.040236696135,692618.0333333333,1337290.0264299705,47946.040236696135,692618.0333333333,1337290.0264299705,47946.040236696135,692618.0333333333,1337290.0264299705,47946.040236696135
37,714297.6666666666,1408793.647036349,19801.686296984437,714297.6666666666,1408793.647036349,19801.686296984437,714297.6666666666,1408793.647036349,19801.686296984437,714297.6666666666,1408793.647036349,19801.686296984437,714297.6666666666,1408793.647036349,19801.686296984437,714297.6666666666,1408793.647036349,19801.686296984437
38,1181280.3666666667,2476017.1998507883,-113456.46651745471,1181280.3666666667,2476017.1998507883,-113456.46651745471,1181280.3666666667,2476017.1998507883,-113456.46651745471,1181280.3666666667,2476017.1998507883,-113456.46651745471,1181280.3666666667,2476017.1998507883,-113456.46651745471,1181280.3666666667,2476017.1998507883,-113456.46651745471
39,1281327.6333333333,2843226.910210675,-280571.6435440085,1281327.6333333333,2843226.910210675,-280571.6435440085,1281327.6333333333,2843226.910210675,-280571.6435440085,1281327.6333333333,2843226.910210675,-280571.6435440085,1281327.6333333333,2843226.910210675,-280571.6435440085,1281327.6333333333,2843226.910210675,-280571.6435440085
40,1335433.6,3048375.3593690144,-377508.15936901397,1335433.6,3048375.3593690144,-377508.15936901397,1335433.6,3048375.3593690144,-377508.15936901397,1335433.6,3048375.3593690144,-377508.15936901397,1335433.6,3048375.3593690144,-377508.15936901397,1335433.6,3048375.3593690144,-377508.15936901397
41,1683375.6333333333,3583867.350413842,-217116.08374717552,1683375.6333333333,3583867.350413842,-217116.08374717552,1683375.6333333333,3583867.350413842,-217116.08374717552,1683375.6333333333,3583867.350413842,-217116.08374717552,1683375.6333333333,3583867.350413842,-217116.08374717552,1683375.6333333333,3583867.350413842,-217116.08374717552
