x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
1411,15506905.454,18086320.85498743,12927490.053012569,11644566.336,13873507.229042888,9415625.44295711,15506905.454,18086320.85498743,12927490.053012569,8796083.574,10597950.749478225,6994216.3985217735
1421,15904678.432,18627560.135127723,13181796.728872279,12124293.268,14552286.106180862,9696300.429819137,15904678.432,18627560.135127723,13181796.728872279,9031241.788,11025943.882411053,7036539.693588948
1431,15260859.53,17865519.39486351,12656199.665136488,11882517.924,14256002.79443234,9509033.053567661,15260859.53,17865519.39486351,12656199.665136488,8421923.11,10230774.930217069,6613071.28978293
1441,15424327.644,18052386.70797397,12796268.58002603,12061446.208,14491609.555367844,9631282.860632157,15424327.644,18052386.70797397,12796268.58002603,8625207.666,10474669.479227087,6775745.852772912
1451,15857836.774,18631571.100715883,13084102.44728412,11825592.586,14306388.677595103,9344796.494404895,15857836.774,18631571.100715883,13084102.44728412,8616891.714,10431247.324734528,6802536.103265471
1461,15407048.906,18067093.637103073,12747004.174896926,11662413.764,14131134.059322912,9193693.468677089,15407048.906,18067093.637103073,12747004.174896926,8363969.246,10123836.638914894,6604101.853085106
1471,14986945.49,17477406.26248161,12496484.71751839,11471447.836,13779397.49678471,9163498.175215289,14986945.49,17477406.26248161,12496484.71751839,8545262.958,10328325.322622448,6762200.593377552
1481,15035470.516,17547608.50766406,12523332.524335943,11657411.504,14015403.123873334,9299419.884126667,15035470.516,17547608.50766406,12523332.524335943,8290003.14,10027890.399096416,6552115.880903583
1491,14871798.46,17301285.74919064,12442311.170809362,11484927.21,13699920.555580173,9269933.86441983,14871798.46,17301285.74919064,12442311.170809362,8046883.592,9679788.352106903,6413978.831893097
1501,15024182.76,17445293.96505883,12603071.55494117,11657737.308,13895590.251637524,9419884.364362476,15024182.76,17445293.96505883,12603071.55494117,8384767.946,10139192.850979855,6630343.041020146
1511,14797082.918,17209775.64963632,12384390.186363678,11537399.3,13730558.585968504,9344240.014031498,14797082.918,17209775.64963632,12384390.186363678,8388359.644,10150270.314896472,6626448.973103528
1521,15055866.306,17452313.07715039,12659419.534849612,11434763.394,13472732.337421874,9396794.450578125,15055866.306,17452313.07715039,12659419.534849612,8594641.666,10305403.81711451,6883879.514885489
1531,15484141.62,18089099.78614288,12879183.45385712,11858790.562,14112730.21787706,9604850.906122942,15484141.62,18089099.78614288,12879183.45385712,8563699.22,10319998.520069206,6807399.919930795
1541,15416986.61,18046989.65755631,12786983.562443689,11616582.472,13835898.924032222,9397266.019967776,15416986.61,18046989.65755631,12786983.562443689,8541705.868,10283447.86814616,6799963.867853841
1551,15327463.37,17990966.715995286,12663960.02400471,11307346.502,13432556.66129173,9182136.342708271,15327463.37,17990966.715995286,12663960.02400471,8395802.014,10125703.924221892,6665900.103778108
1561,14989989.904,17551709.915415734,12428269.892584264,11257732.57,13369314.430898085,9146150.709101915,14989989.904,17551709.915415734,12428269.892584264,8401766.816,10141546.04599097,6661987.586009029
1571,15076868.808,17721776.042026963,12431961.573973037,11290524.996,13441448.28528651,9139601.706713488,15076868.808,17721776.042026963,12431961.573973037,8214582.14,9914493.651162624,6514670.628837375
1581,14921358.898,17411760.59902066,12430957.196979342,11324704.54,13429392.709054258,9220016.37094574,14921358.898,17411760.59902066,12430957.196979342,7871462.37,9440628.861004189,6302295.878995812
1591,15148997.13,17714486.497153327,12583507.762846675,11665556.238,13803295.289664641,9527817.186335359,15148997.13,17714486.497153327,12583507.762846675,8279829.57,9924485.855665123,6635173.284334877
1601,15127519.186,17633385.8723551,12621652.499644902,11575275.816,13658597.64768838,9491953.98431162,15127519.186,17633385.8723551,12621652.499644902,8041868.328,9681434.08201133,6402302.573988669
1611,15121042.232,17607407.677257538,12634676.786742464,11736268.314,13881662.066783376,9590874.561216623,15121042.232,17607407.677257538,12634676.786742464,8257862.95,9931378.53186271,6584347.368137291
1621,15586980.51,18112321.52697642,13061639.493023576,11797017.034,13928711.749569716,9665322.318430284,15586980.51,18112321.52697642,13061639.493023576,8316653.856,10069524.880238669,6563782.83176133
1631,15436314.898,18029174.673680153,12843455.122319845,11775866.422,13964324.077048313,9587408.766951688,15436314.898,18029174.673680153,12843455.122319845,8047166.258,9771395.748255722,6322936.767744279
1641,15772228.418,18419869.664541252,13124587.17145875,11857797.626,14105440.290410955,9610154.961589046,15772228.418,18419869.664541252,13124587.17145875,8323238.764,10147267.655804364,6499209.872195638
1651,15654903.054,18332149.562523514,12977656.545476485,11895922.472,14191867.670833323,9599977.273166675,15654903.054,18332149.562523514,12977656.545476485,8444455.896,10393246.320158318,6495665.471841681
1661,15602015.696,18298731.364442755,12905300.027557248,11780404.794,14100985.938976727,9459823.649023272,15602015.696,18298731.364442755,12905300.027557248,8168391.266,10044669.635126954,6292112.896873046
1671,15730538.33,18459455.809543263,13001620.850456737,11487007.102,13726845.732761037,9247168.471238963,15730538.33,18459455.809543263,13001620.850456737,8473695.2,10484167.995906191,6463222.404093808
1681,15594223.862,18281388.149943344,12907059.574056657,11225802.154,13402853.906741854,9048750.401258145,15594223.862,18281388.149943344,12907059.574056657,8284293.884,10192940.903967906,6375646.864032094
1691,15756606.31,18520350.028517466,12992862.591482535,11700077.118,13987295.546505233,9412858.689494768,15756606.31,18520350.028517466,12992862.591482535,8510837.286,10480607.534449048,6541067.037550952
1701,15144657.984,17713585.084438417,12575730.883561581,11187797.566,13294194.847445518,9081400.284554482,15144657.984,17713585.084438417,12575730.883561581,8171150.01,9988360.880896734,6353939.1391032655
1711,15006322.12,17609594.66105476,12403049.57894524,10966852.262,13062561.213749642,8871143.310250359,15006322.12,17609594.66105476,12403049.57894524,8269089.84,10097960.179101128,6440219.500898872
1721,14733309.662,17314391.859440323,12152227.464559678,10705333.294,12826544.780576952,8584121.807423048,14733309.662,17314391.859440323,12152227.464559678,8150603.278,10056654.006757002,6244552.549242998
1731,15032511.036,17750479.269911844,12314542.802088156,10706182.7,12932993.25193919,8479372.148060808,15032511.036,17750479.269911844,12314542.802088156,8162049.946,10087815.147408003,6236284.744591998
1741,14646419.44,17260966.079408184,12031872.800591817,10589424.554,12689109.973147387,8489739.134852612,14646419.44,17260966.079408184,12031872.800591817,8318775.796,10195519.450782154,6442032.1412178455
1751,15199926.796,17940517.869227882,12459335.722772118,11013375.354,13143211.429311397,8883539.278688604,15199926.796,17940517.869227882,12459335.722772118,8555737.588,10503585.64557053,6607889.53042947
1761,14736997.318,17374688.796195872,12099305.839804128,10394087.946,12394048.418007448,8394127.473992553,14736997.318,17374688.796195872,12099305.839804128,8377310.014,10298825.366653863,6455794.6613461375
1771,14911445.518,17515594.745116573,12307296.290883424,10762063.936,12818947.398985839,8705180.473014163,14911445.518,17515594.745116573,12307296.290883424,8667218.538,10638852.093837846,6695584.982162155
1781,15390315.272,18074677.388203558,12705953.155796442,11443555.962,13634089.408441545,9253022.515558453,15390315.272,18074677.388203558,12705953.155796442,8836098.412,10862705.758597298,6809491.065402704
1791,15123322.368,17748406.011109836,12498238.724890165,11434387.182,13640627.179436533,9228147.184563467,15123322.368,17748406.011109836,12498238.724890165,8869787.366,10876863.615490727,6862711.116509273
1801,14893751.79,17455550.614635877,12331952.965364123,11448162.706,13652811.871569566,9243513.540430434,14893751.79,17455550.614635877,12331952.965364123,8947095.434,10987298.821199933,6906892.046800067
1811,15043761.42,17617256.98207653,12470265.85792347,11568855.072,13822566.677050482,9315143.466949519,15043761.42,17617256.98207653,12470265.85792347,9055941.368,11142829.20724843,6969053.52875157
1821,14682068.826,17134860.72646783,12229276.92553217,11605019.166,13810167.554257372,9399870.777742626,14682068.826,17134860.72646783,12229276.92553217,8836923.076,10815666.429671803,6858179.722328195
1831,15494522.666,18071571.530894246,12917473.801105753,11917231.712,14198799.000245716,9635664.423754282,15494522.666,18071571.530894246,12917473.801105753,9024869.286,11064729.97342056,6985008.598579439
1841,15414181.876,17944235.23725702,12884128.514742982,12259773.622,14608399.943608077,9911147.300391922,15414181.876,17944235.23725702,12884128.514742982,8868797.016,10854053.786557376,6883540.245442624
1851,15439781.378,18019342.361963917,12860220.394036083,11813835.362,14183199.851114351,9444470.872885648,15439781.378,18019342.361963917,12860220.394036083,9049958.142,11065045.496233251,7034870.787766751
1861,15891745.432,18504613.300591026,13278877.563408975,11662598.286,13971388.272143746,9353808.299856255,15891745.432,18504613.300591026,13278877.563408975,9245725.726,11232772.14565686,7258679.30634314
1871,16094975.996,18710700.00353311,13479251.988466889,11448905.464,13740720.258914534,9157090.669085465,16094975.996,18710700.00353311,13479251.988466889,9206685.662,11218662.700218672,7194708.623781329
1881,16477259.748,19169015.677497685,13785503.818502314,11633935.696,13955821.49311271,9312049.898887292,16477259.748,19169015.677497685,13785503.818502314,9222821.536,11263476.35995775,7182166.71204225
1891,16406721.77,19072900.798128814,13740542.741871186,11655071.572,13992158.289394107,9317984.854605895,16406721.77,19072900.798128814,13740542.741871186,9281617.946,11351624.080953704,7211611.811046298
1901,17091951.946,19946776.71445699,14237127.177543007,12284645.158,14817208.00518031,9752082.31081969,17091951.946,19946776.71445699,14237127.177543007,9558656.858,11648877.124909872,7468436.591090126
1911,17145486.032,20139022.656176217,14151949.407823784,12362382.614,15001600.843803257,9723164.384196743,17145486.032,20139022.656176217,14151949.407823784,9621992.848,11805974.68238159,7438011.013618408
1921,16840388.448,19631410.137082838,14049366.758917158,11606907.438,13952331.282390662,9261483.593609337,16840388.448,19631410.137082838,14049366.758917158,9227528.94,11233083.671382826,7221974.208617173
1931,16702751.286,19378414.70748209,14027087.86451791,11406451.088,13660850.543640148,9152051.632359851,16702751.286,19378414.70748209,14027087.86451791,9196716.668,11170645.4622963,7222787.8737037
1941,16789571.148,19456171.505333565,14122970.790666431,11416367.238,13566912.710233027,9265821.765766973,16789571.148,19456171.505333565,14122970.790666431,9010257.65,10943310.92728973,7077204.372710271
1951,16971855.868,19673171.25469456,14270540.48130544,11501892.374,13672032.285915054,9331752.462084945,16971855.868,19673171.25469456,14270540.48130544,9269906.614,11281372.990941923,7258440.237058078
1961,16723840.48,19390484.89078231,14057196.069217691,11632695.882,13842350.558234822,9423041.205765177,16723840.48,19390484.89078231,14057196.069217691,9435854.334,11515190.890108941,7356517.77789106
1971,16420746.814,19094742.908044644,13746750.719955353,11876270.38,14150830.154312475,9601710.605687527,16420746.814,19094742.908044644,13746750.719955353,9530779.9,11579441.557302907,7482118.242697095
1981,16761634.012,19443326.64781019,14079941.376189807,11957308.798,14210137.655714449,9704479.940285552,16761634.012,19443326.64781019,14079941.376189807,9459039.882,11460085.17146964,7457994.592530359
1991,17068109.794,19840174.693002354,14296044.894997645,12097064.886,14401371.471497515,9792758.300502485,17068109.794,19840174.693002354,14296044.894997645,9560991.314,11581990.202832168,7539992.425167831
2000,16457294.166,19183140.227667112,13731448.104332888,12097298.948,14467227.676014978,9727370.219985023,16457294.166,19183140.227667112,13731448.104332888,9345429.016,11384914.08489024,7305943.947109761
