x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanDirInterferenceLie,upDirInterferenceLie,lowDirInterferenceLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanUserDirLie,upUserDirLie,lowUserDirLie
491,13895560.692,16172670.625317551,11618450.758682448,10925763.052,12918414.201698301,8933111.902301697,13895560.692,16172670.625317551,11618450.758682448,7053928.162,8501973.051607158,5605883.272392841
501,13699706.126,16004653.943164375,11394758.308835626,10635974.172,12665686.631515667,8606261.712484334,13699706.126,16004653.943164375,11394758.308835626,7281272.858,8793503.035518453,5769042.6804815475
511,14131187.286,16532409.329671212,11729965.24232879,10996368.17,13107444.359360782,8885291.980639217,14131187.286,16532409.329671212,11729965.24232879,7480256.192,9043179.548404299,5917332.835595701
521,13909271.338,16254829.568834368,11563713.10716563,10822034.084,12874930.305508636,8769137.862491366,13909271.338,16254829.568834368,11563713.10716563,7286062.586,8768255.483376913,5803869.6886230875
531,14312171.722,16681321.561706122,11943021.882293876,10967149.998,13031580.757325944,8902719.238674056,14312171.722,16681321.561706122,11943021.882293876,7360793.218,8867053.262837257,5854533.173162743
541,13796208.622,16215119.429182759,11377297.81481724,10564014.222,12648823.737257956,8479204.706742043,13796208.622,16215119.429182759,11377297.81481724,7041380.618,8555612.444499131,5527148.791500869
551,14308052.502,16762594.101428954,11853510.902571047,11231361.034,13374463.905829336,9088258.162170663,14308052.502,16762594.101428954,11853510.902571047,7522035.188,9129413.796670645,5914656.579329356
561,14029511.214,16415426.647394996,11643595.780605003,11017368.166,13135126.200741567,8899610.131258432,14029511.214,16415426.647394996,11643595.780605003,7143125.53,8700960.302396115,5585290.757603887
571,14243432.718,16564421.80924598,11922443.626754021,11437870.928,13606219.70083459,9269522.15516541,14243432.718,16564421.80924598,11922443.626754021,7234985.968,8800167.38911447,5669804.546885532
581,14131315.542,16515101.785989478,11747529.29801052,11363983.088,13557295.05333941,9170671.122660588,14131315.542,16515101.785989478,11747529.29801052,7470192.41,9017770.863593135,5922613.956406864
591,14405689.35,16820215.73127672,11991162.96872328,11483019.59,13663278.490431499,9302760.689568501,14405689.35,16820215.73127672,11991162.96872328,7344876.014,8878980.058063567,5810771.969936434
601,14369101.722,16804931.200186573,11933272.243813423,10995344.41,13080587.892590899,8910100.927409101,14369101.722,16804931.200186573,11933272.243813423,7180791.794,8678184.334254788,5683399.253745211
611,14499876.56,16920646.049026124,12079107.070973875,11211428.532,13267456.914420336,9155400.149579663,14499876.56,16920646.049026124,12079107.070973875,7384278.204,8878205.03788701,5890351.370112989
621,15299135.09,17896361.924583286,12701908.255416714,11883693.33,14106414.604569314,9660972.055430686,15299135.09,17896361.924583286,12701908.255416714,7527550.052,9202950.581388708,5852149.522611292
631,15953741.61,18823562.400203105,13083920.819796894,11996939.132,14236921.090464767,9756957.173535232,15953741.61,18823562.400203105,13083920.819796894,8156619.388,10015319.597131358,6297919.178868642
641,15790232.014,18583578.67267739,12996885.35532261,12375598.332,14720797.192653773,10030399.471346227,15790232.014,18583578.67267739,12996885.35532261,8379898.218,10258985.311823953,6500811.124176047
651,15938877.404,18665933.22582827,13211821.582171727,12097279.118,14382788.983257562,9811769.25274244,15938877.404,18665933.22582827,13211821.582171727,7978898.086,9705907.994613476,6251888.177386524
661,16353281.902,19254632.24051819,13451931.56348181,12308430.172,14713911.969148,9902948.374852,16353281.902,19254632.24051819,13451931.56348181,8091644.256,9910552.372977026,6272736.139022973
671,16258267.826,19150138.567872643,13366397.084127354,12263195.956,14697938.181412227,9828453.730587773,16258267.826,19150138.567872643,13366397.084127354,7941190.016,9630513.328551034,6251866.703448966
681,16059277.454,18858841.271808673,13259713.636191327,12256639.632,14661995.377982758,9851283.88601724,16059277.454,18858841.271808673,13259713.636191327,8082124.712,9707146.774626752,6457102.649373248
691,16225282.406,19044933.72975659,13405631.082243409,12365051.458,14764076.591404002,9966026.324595999,16225282.406,19044933.72975659,13405631.082243409,8160313.66,9886039.895141892,6434587.424858108
701,16441765.004,19232359.624182414,13651170.383817587,12540291.174,14856154.13317141,10224428.214828592,16441765.004,19232359.624182414,13651170.383817587,8251138.802,9928598.401093673,6573679.202906327
711,16119202.142,18762225.024938937,13476179.259061063,12484289.49,14828823.5856196,10139755.3943804,16119202.142,18762225.024938937,13476179.259061063,8058766.088,9763356.074624602,6354176.101375399
721,15671769.46,18307596.42460231,13035942.49539769,13052797.508,15513901.462178092,10591693.553821906,15671769.46,18307596.42460231,13035942.49539769,8184035.87,9911927.186892126,6456144.553107874
731,15503632.008,18119841.645366795,12887422.370633205,13166162.608,15685777.919114057,10646547.296885941,15503632.008,18119841.645366795,12887422.370633205,8310819.694,10189149.560445432,6432489.827554569
741,15255820.972,17904003.158773217,12607638.785226779,12946868.8,15458634.677676577,10435102.922323424,15255820.972,17904003.158773217,12607638.785226779,8367405.842,10239184.916485475,6495626.767514525
751,15216113.698,17831564.70351499,12600662.692485014,12693914.54,15147792.208962351,10240036.871037647,15216113.698,17831564.70351499,12600662.692485014,8715451.364,10683821.39884418,6747081.32915582
761,14853486.836,17439557.02684767,12267416.645152329,12427748.25,14792363.993069423,10063132.506930577,14853486.836,17439557.02684767,12267416.645152329,8239904.7,10028971.958797855,6450837.441202145
771,15007900.6,17690389.281630173,12325411.918369826,12316128.01,14670235.430504166,9962020.589495834,15007900.6,17690389.281630173,12325411.918369826,8040124.618,9740039.299667293,6340209.936332707
781,14879960.528,17610117.26677876,12149803.78922124,12307696.758,14692865.168763857,9922528.347236142,14879960.528,17610117.26677876,12149803.78922124,7844063.926,9572742.239390021,6115385.61260998
791,15307099.11,18098433.974187907,12515764.245812092,12334204.69,14752571.251829565,9915838.128170434,15307099.11,18098433.974187907,12515764.245812092,7841338.93,9502397.791242585,6180280.068757416
801,15071170.67,17774310.388683863,12368030.951316135,12243247.154,14652497.279278772,9833997.028721226,15071170.67,17774310.388683863,12368030.951316135,7510138.058,9123306.4918687,5896969.624131299
811,14559311.998,17093332.82291116,12025291.173088841,11809341.17,14069012.224927748,9549670.115072252,14559311.998,17093332.82291116,12025291.173088841,7457851.78,8990240.731781673,5925462.828218328
821,14885405.268,17528511.775025263,12242298.760974737,12115897.392,14445340.3378058,9786454.446194202,14885405.268,17528511.775025263,12242298.760974737,7525794.316,9135344.03656746,5916244.595432539
831,14839448.176,17378963.523452472,12299932.828547528,12039986.032,14269187.39999552,9810784.664004479,14839448.176,17378963.523452472,12299932.828547528,7778516.904,9363714.17476336,6193319.633236642
841,14963452.944,17505275.798345644,12421630.089654356,12289652.726,14555548.0841637,10023757.3678363,14963452.944,17505275.798345644,12421630.089654356,7908127.418,9489948.834571045,6326306.001428954
851,14609255.216,17125502.119881846,12093008.312118152,12232412.23,14510792.882571481,9954031.57742852,14609255.216,17125502.119881846,12093008.312118152,7576130.812,9086101.910237223,6066159.713762778
861,15144478.288,17712228.59645866,12576727.979541343,12460799.124,14796548.44047,10125049.807529999,15144478.288,17712228.59645866,12576727.979541343,7854739.166,9424960.978355026,6284517.353644974
871,14863573.694,17306992.191697292,12420155.196302708,11847745.148,14062583.411643675,9632906.884356325,14863573.694,17306992.191697292,12420155.196302708,7618737.282,9106456.552547034,6131018.0114529645
