x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanCapacityLie,upCapacityLie,lowCapacityLie,meanDemandLie,upDemandLie,lowDemandLie,meanInterferenceLie,upInterferenceLie,lowInterferenceLie,meanObsNoise,upObsNoise,lowObsNoise,meanUserDirLie,upUserDirLie,lowUserDirLie
47,3677709.54,5647054.540266511,1708364.539733489,3677282.63,5608292.482403256,1746272.7775967435,3679372.46,5648581.705574841,1710163.2144251587,3677709.54,5647054.540266511,1708364.539733489,2871653.89,4342869.676848367,1400438.1031516334,3028442.58,4633362.410929844,1423522.749070156
48,3817616.58,5885080.628356243,1750152.5316437576,3883691.07,5941661.394102374,1825720.745897626,3822336.86,5891419.367860016,1753254.3521399833,3817616.58,5885080.628356243,1750152.5316437576,3173374.12,4776614.318801705,1570133.921198295,3228623.55,4972725.171463983,1484521.9285360163
49,4014480.66,6069406.719111334,1959554.6008886665,4106984.86,6175228.173444131,2038741.546555868,4029865.13,6088913.7580799265,1970816.5019200733,4014480.66,6069406.719111334,1959554.6008886665,3267574.28,4800185.700573487,1734962.8594265128,3368913.56,5077936.436218428,1659890.6837815717
50,3964162.21,6051310.719276488,1877013.7007235126,4067245.97,6193728.691654504,1940763.2483454961,3968746.01,6056313.558229429,1881178.461770571,3964162.21,6051310.719276488,1877013.7007235126,3164045.69,4699862.042483266,1628229.3375167334,3142179.71,4899222.1683049705,1385137.251695029
51,3949361.97,6008615.495357623,1890108.4446423776,4081491.31,6207620.502677988,1955362.1173220114,3970627.26,6042643.152862648,1898611.3671373525,3949361.97,6008615.495357623,1890108.4446423776,3152107.35,4619194.116008594,1685020.5839914063,3130067.77,4811386.909045832,1448748.630954168
52,3866971.18,5952538.817356218,1781403.542643783,4057151.43,6258780.453501372,1855522.4064986282,3875535.28,5964822.731236576,1786247.8287634233,3866971.18,5952538.817356218,1781403.542643783,3030094.96,4461488.4542015735,1598701.465798427,3041886.14,4715877.705869461,1367894.5741305389
53,3517613.77,5466442.920778381,1568784.6192216193,3756604.45,5854491.005845232,1658717.8941547684,3529461.11,5481040.151929818,1577882.0680701812,3517613.77,5466442.920778381,1568784.6192216193,2927634.56,4398785.051623034,1456484.0683769658,2828043.02,4454858.693536393,1201227.346463607
54,3616509.99,5619448.602591746,1613571.3774082544,3861656.13,6004476.522390677,1718835.7376093226,3622186.51,5627181.515611471,1617191.5043885286,3616509.99,5619448.602591746,1613571.3774082544,2957269.36,4451554.832556177,1462983.8874438223,2745468.92,4308136.32469129,1182801.5153087098
55,3975249.21,6156567.563713379,1793930.8562866212,4180004.71,6459463.214615593,1900546.2053844077,3996237.84,6179343.30586968,1813132.3741303198,3975249.21,6156567.563713379,1793930.8562866212,3312881.73,4901353.718437688,1724409.741562311,3182571.98,4939804.099858705,1425339.860141295
56,4051067.84,6163310.666499143,1938825.0135008572,4241506.37,6454669.672587506,2028343.0674124947,4061604.35,6175934.791538185,1947273.9084618147,4051067.84,6163310.666499143,1938825.0135008572,3150174.4,4540487.502862111,1759861.297137889,3342531.3,5136339.946467134,1548722.6535328655
