x,meanNoByzantine,upNoByzantine,lowNoByzantine,meanGreyhole,upGreyhole,lowGreyhole,meanSinkhole,upSinkhole,lowSinkhole,meanSelectiveJam,upSelectiveJam,lowSelectiveJam,meanPosSpoofing,upPosSpoofing,lowPosSpoofing,meanAllAttacks,upAllAttacks,lowAllAttacks
189,5149453.066666666,9130909.143795485,1167996.9895378486,5138752.083333333,9119201.417357367,1158302.7493092986,5077954.25,9051468.138079496,1104440.3619205044,5201663.8,9600799.457458567,802528.1425414318,5149453.066666666,9130909.143795485,1167996.9895378486,5201663.766666667,9600799.414895738,802528.1184375957
190,5630024.4,10266910.92411571,993137.8758842908,5620273.183333334,10256987.853260975,983558.5134056928,5589613.3,10223820.956311937,955405.6436880631,5761137.833333333,11042481.623558212,479794.0431084549,5630024.4,10266910.92411571,993137.8758842908,5761137.766666667,11042481.548733074,479793.9846002599
191,5838293.333333333,10584825.426496446,1091761.240170219,5829509.183333334,10575879.445085246,1083138.921581421,5813713.7,10556801.329452276,1070626.070547725,5888111.633333334,11184367.639752682,591855.6269139843,5838293.333333333,10584825.426496446,1091761.240170219,5888111.633333334,11184367.639752682,591855.6269139843
192,5299865.366666666,9493411.098291617,1106319.6350417165,5299865.366666666,9493411.098291617,1106319.6350417165,5308668.6,9498967.059972364,1118370.1400276343,5565881.533333333,10256399.633294797,875363.4333718698,5299865.366666666,9493411.098291617,1106319.6350417165,5565881.466666667,10256399.552819988,875363.3805133458
193,5324229.066666666,9522075.968735918,1126382.1645974135,5324229.066666666,9522075.968735918,1126382.1645974135,5360540.366666666,9554539.29752752,1166541.435805813,5610920.266666667,10392276.248608124,829564.2847252088,5324229.066666666,9522075.968735918,1126382.1645974135,5610920.233333333,10392276.21047166,829564.2561950069
194,6486806.3,12101122.381246177,872490.2187538221,6486806.3,12101122.381246177,872490.2187538221,6538881.4,12148712.76376451,929050.0362354908,6826170.6,13222400.567388628,429940.6326113716,6486806.3,12101122.381246177,872490.2187538221,6826170.6,13222400.567388628,429940.6326113716
195,5979378.366666666,11029126.120854855,929630.6124784779,5979378.366666666,11029126.120854855,929630.6124784779,6061524.933333334,11106022.241937563,1017027.6247291034,6019236.6,11364707.395500246,673765.8044997519,5979378.366666666,11029126.120854855,929630.6124784779,6019236.566666666,11364707.357792122,673765.7755412105
196,7000984.633333334,13010354.735145912,991614.531520755,7000984.633333334,13010354.735145912,991614.531520755,7099662.783333333,13101239.926958188,1098085.639708479,6885379.7,13258536.770931605,512222.62906839605,7000984.633333334,13010354.735145912,991614.531520755,6885379.733333333,13258536.809319966,512222.6573467003
197,7308430.9,13651290.845529769,965570.9544702331,7308430.9,13651290.845529769,965570.9544702331,7417089.033333333,13750966.999494512,1083211.0671721548,6999129.3,13445202.719110271,553055.8808897287,7308430.9,13651290.845529769,965570.9544702331,6999129.3,13445202.719110271,553055.8808897287
198,7364532.333333333,13509435.8062118,1219628.8604548676,7364532.333333333,13509435.8062118,1219628.8604548676,7470990.483333333,13606326.150151871,1335654.8165147956,6996142.933333334,13219420.17988301,772865.6867836565,7364532.333333333,13509435.8062118,1219628.8604548676,6996142.933333334,13219420.17988301,772865.6867836565
199,6643171.566666666,12210461.025547676,1075882.107785658,6643171.566666666,12210461.025547676,1075882.107785658,6750539.733333333,12308529.479173621,1192549.9874930456,6054212.733333333,11391861.031202558,716564.4354641093,6643171.566666666,12210461.025547676,1075882.107785658,6054212.733333333,11391861.047295071,716564.4193715965
200,3308273.533333333,5837836.420449099,778710.6462175678,3308273.533333333,5837836.420449099,778710.6462175678,3421136.55,5946419.867511688,895853.2324883123,3163723.6333333333,5680411.575357054,647035.6913096122,3308273.533333333,5837836.420449099,778710.6462175678,3163723.6333333333,5680411.575357054,647035.6913096122
201,3391832.066666667,5956648.481338771,827015.6519945622,3391832.066666667,5956648.481338771,827015.6519945622,3546346.8,6113850.228361521,978843.3716384787,3344184.7,6047409.6702797245,640959.7297202754,3391832.066666667,5956648.481338771,827015.6519945622,3344184.6666666665,6047409.614273608,640959.7190597258
202,3684959.2666666666,6677706.481321713,692212.0520116198,3684959.2666666666,6677706.481321713,692212.0520116198,3825530.566666667,6815931.085964587,835130.0473687467,3586761.6333333333,6786313.871980092,387209.3946865746,3684959.2666666666,6677706.481321713,692212.0520116198,3586761.6333333333,6786313.871980092,387209.3946865746
203,3878924.3666666667,6679751.396493109,1078097.3368402245,3878924.3666666667,6679751.396493109,1078097.3368402245,3998319.55,6784507.985821774,1212131.1141782254,3605840.8333333335,6304449.794326143,907231.8723405236,3878924.3666666667,6679751.396493109,1078097.3368402245,3605840.8333333335,6304449.794326143,907231.8723405236
204,4157969.4,7120318.2922498565,1195620.5077501438,4157969.4,7120318.2922498565,1195620.5077501438,4296155.65,7251671.782871284,1340639.5171287176,3831016.2666666666,6674150.659747617,987881.8735857164,4157969.4,7120318.2922498565,1195620.5077501438,3831016.2666666666,6674150.659747617,987881.8735857164
205,3910619.433333333,6666593.009785046,1154645.8568816204,3910619.433333333,6666593.009785046,1154645.8568816204,4042464.7333333334,6796299.763476682,1288629.703189985,3480446.2333333334,6033656.583090868,927235.8835757994,3910619.433333333,6666593.009785046,1154645.8568816204,3480446.2666666666,6033656.638094432,927235.8952389015
206,3753936.7,6434040.466603182,1073832.9333968186,3753936.7,6434040.466603182,1073832.9333968186,3854706.1666666665,6530694.05194821,1178718.2813851228,3336762.3333333335,5835438.060939267,838086.6057274002,3753936.7,6434040.466603182,1073832.9333968186,3336762.3333333335,5835438.060939267,838086.6057274002
207,3878535.8333333335,6701871.095703224,1055200.5709634437,3878535.8333333335,6701871.095703224,1055200.5709634437,3923607.3333333335,6736153.073978245,1111061.5926884222,3319117.3666666667,5860535.3422745485,777699.3910587854,3878535.8333333335,6701871.095703224,1055200.5709634437,3319117.3333333335,5860535.283114163,777699.3835525033
208,4491061.033333333,8144504.766738209,837617.2999284575,4491061.033333333,8144504.766738209,837617.2999284575,4549879.7,8194711.852265732,905047.5477342685,4092899.033333333,7664574.995440327,521223.0712263398,4491061.033333333,8144504.766738209,837617.2999284575,4092899.0,7664574.938361835,521223.06163816527
209,3361771.1,6072203.520606337,651338.6793936626,3361771.1,6072203.520606337,651338.6793936626,3396433.066666667,6104859.041202256,688007.0921310768,2849949.8666666667,5332362.415688578,367537.3176447549,3361771.1,6072203.520606337,651338.6793936626,2849949.8333333335,5332362.345522126,367537.32114454126
210,3511757.5,6755520.362593053,267994.63740694756,3508001.3666666667,6752049.434530835,263953.2988024987,3549874.4166666665,6787926.023176044,311822.81015728926,3228527.3,6446866.809257012,10187.790742987767,3509860.6333333333,6753765.440892771,265955.8257738962,3228527.3,6446866.809257012,10187.790742987767
211,3849700.533333333,7305020.515355874,394380.5513107921,3847226.6333333333,7302796.587770171,391656.6788964947,3865289.55,7327962.508436998,402616.5915630008,3288197.1666666665,6496931.329836836,79463.00349649647,3848504.933333333,7303944.876090545,393064.9905761215,3288197.0,6496931.105241748,79462.89475825289
212,3696529.2666666666,6543714.411539768,849344.1217935653,3694064.533333333,6541375.465755624,846753.6009110427,3722552.6333333333,6613662.8848936595,831442.3817730076,2897653.2,5242672.320842987,552634.0791570134,3695203.1,6542454.907795552,847951.2922044485,2897653.1666666665,5242672.277102581,552634.0562307518
213,4730064.766666667,8519632.650459474,940496.8828738588,4727746.483333333,8517275.77844975,938217.1882169168,4759012.683333334,8598940.826871289,919084.5397953782,3450720.1,6683127.333701019,218312.866298981,4729025.833333333,8518575.750040604,939475.9166260618,3450720.1333333333,6683127.365902774,218312.90076389257
214,4045415.8,7054801.704499168,1036029.8955008308,4043123.5,7052190.117114327,1034056.8828856731,4071351.4166666665,7098247.441714721,1044455.3916186127,3258205.1666666665,5813881.72367394,702528.6096593929,4044231.3333333335,7053451.42378162,1035011.2428850462,3258205.1333333333,5813881.66779908,702528.5988675863
215,4555961.133333334,8387692.556358626,724229.710308041,4553129.666666667,8384438.088735551,721821.2445977838,4544783.216666667,8373273.390677517,716293.0426558158,3020998.6666666665,6134459.528340169,-92462.1950068362,4554495.366666666,8386006.816886153,722983.9164471789,3020998.7,6134459.561267371,-92462.16126737092
216,4103666.933333333,7272537.279029092,934796.587637574,4100858.066666667,7269413.679709215,932302.4536241195,4059521.3833333333,7224339.60784708,894703.1588195865,2632210.2666666666,4899245.370428148,365175.1629051855,4102346.6,7271067.815289842,933625.3847101582,2632210.2666666666,4899245.370428148,365175.1629051855
